Transporteur;Gare origine;Gare origine - code UIC;Gare destination;Gare destination - code UIC;Classe;Profil tarifaire;Prix minimum;Prix maximum
TGV INOUI;MARSEILLE BLANCARDE;87751081;BEAUNE;87713545;1;Tarif Normal;24.0;140.0
TGV INOUI;MACON VILLE;87725689;NEUFCHATEAU;87141291;1;Tarif Elève - Etudiant - Apprenti;24.0;24.0
TGV INOUI;LYON PERRACHE;87722025;FUTUROSCOPE;87324095;2;Tarif Elève - Etudiant - Apprenti;11.0;11.0
TGV INOUI;LIMOGES BENEDICTINS;87592006;LES AUBRAIS;87543017;2;Tarif Normal;15.0;47.0
TGV INOUI;MONTPELLIER SAINT-ROCH;87773002;THIONVILLE;87191007;1;Tarif Avantage;21.5;162.0
TGV INOUI;NANCY;87141002;ANTIBES;87757674;1;Tarif Avantage;21.5;158.0
TGV INOUI;HENDAYE;87677005;TGV HAUTE PICARDIE;87313882;2;Tarif Réglementé;125.9;141.1
TGV INOUI;TOUL;87141044;CHALON SUR SAONE;87725002;1;Tarif Avantage;11.9;59.0
TGV INOUI;RENNES;87471003;MONTPELLIER SUD DE FRANCE;87688887;1;Tarif Avantage;25.0;176.0
TGV INOUI;BORDEAUX ST JEAN;87581009;CHALON SUR SAONE;87725002;1;Tarif Réglementé;170.5;170.5
TGV INOUI;JUVISY;87545244;LES AUBRAIS;87543017;2;Tarif Normal;11.0;24.5
TGV INOUI;BESANCON VIOTTE;87718007;AIX EN PROVENCE TGV;87319012;1;Tarif Réglementé;146.2;146.2
TGV INOUI;MARSEILLE BLANCARDE;87751081;LES ARCS DRAGUIGNAN;87755447;1;Tarif Avantage;10.5;37.0
TGV INOUI;NANCY;87141002;FUTUROSCOPE;87324095;1;Tarif Elève - Etudiant - Apprenti;21.0;21.0
TGV INOUI;FONTAINEBLEAU AVON;87682211;AVIGNON TGV;87318964;1;Tarif Elève - Etudiant - Apprenti;21.0;21.0
TGV INOUI;TOUL;87141044;ST RAPHAEL VALESCURE;87757526;1;Tarif Réglementé;177.6;177.6
TGV INOUI;MARSEILLE BLANCARDE;87751081;LONS LE SAUNIER;87718239;1;Tarif Normal;24.0;137.0
TGV INOUI;NANCY;87141002;IS SUR TILLE;87713859;1;Tarif Elève - Etudiant - Apprenti;21.0;21.0
TGV INOUI;JUVISY TGV;87496695;LA SOUTERRAINE;87592378;2;Tarif Normal;20.0;54.0
TGV INOUI;PARIS AUSTERLITZ;87547000;VANNES;87476606;1;Tarif Réglementé;147.2;147.2
TGV INOUI;MARSEILLE BLANCARDE;87751081;MENTON;87756486;1;Tarif Elève - Etudiant - Apprenti;11.0;11.0
TGV INOUI;NANCY;87141002;LE CREUSOT - MONTCEAU TGV;87694109;1;Tarif Avantage;21.5;88.0
TGV INOUI;CLUSES  74;87746370;LILLE EUROPE;87223263;2;Tarif Avantage;17.5;109.0
TGV INOUI;LORIENT;87476002;AIX LES BAINS - LE REVARD;87741132;2;Tarif Avantage;21.0;103.0
TGV INOUI;RENNES;87471003;NIMES PONT DU GARD;87703975;1;Tarif Normal;36.0;221.0
TGV INOUI;NANCY;87141002;LES ARCS DRAGUIGNAN;87755447;1;Tarif Réglementé;173.6;173.6
TGV INOUI;CARENTAN;87447243;AIME LA PLAGNE;87741769;1;Tarif Avantage;21.5;154.0
TGV INOUI;ALBERTVILLE;87741645;BERNAY;87444299;1;Tarif Elève - Etudiant - Apprenti;23.0;23.0
TGV INOUI;MONTPELLIER SUD DE FRANCE;87688887;CHALON SUR SAONE;87725002;1;Tarif Réglementé;108.6;108.6
TGV INOUI;BORDEAUX ST JEAN;87581009;MEUSE TGV;87147322;1;Tarif Normal;31.0;200.0
TGV INOUI;FONTAINEBLEAU AVON;87682211;SENS;87683003;1;Tarif Réglementé;20.3;20.3
TGV INOUI;TOULON;87755009;BEAUNE;87713545;1;Tarif Réglementé;132.0;132.0
TGV INOUI;MARSEILLE BLANCARDE;87751081;NANTES;87481002;1;Tarif Elève - Etudiant - Apprenti;40.0;40.0
TGV INOUI;MANTES LA JOLIE TGV;87514596;CONFLANS FIN D'OISE TGV;87514604;1;Tarif Normal;17.0;56.0
TGV INOUI;CARENTAN;87447243;AIME LA PLAGNE;87741769;1;Tarif Réglementé;167.5;167.5
TGV INOUI;LORIENT;87476002;ANNEMASSE;87745497;2;Tarif Avantage;21.0;103.0
TGV INOUI;RENNES;87471003;SALLANCHES-COMBLOUX-MEGEVE;87746438;1;Tarif Normal;31.0;205.0
TGV INOUI;NANCY;87141002;MARSEILLE ST CHARLES;87751008;1;Tarif Elève - Etudiant - Apprenti;23.0;23.0
TGV INOUI;CLUSES  74;87746370;MARNE LA VALLEE CHESSY;87111849;2;Tarif Elève - Etudiant - Apprenti;14.0;14.0
TGV INOUI;ALBERTVILLE;87741645;BOURG EN BRESSE;87743005;1;Tarif Réglementé;29.9;29.9
TGV INOUI;MARSEILLE BLANCARDE;87751081;PERPIGNAN;87784009;1;Tarif Elève - Etudiant - Apprenti;14.0;14.0
TGV INOUI;MANTES LA JOLIE TGV;87514596;CONFLANS FIN D'OISE TGV;87514604;1;Tarif Réglementé;47.7;47.7
TGV INOUI;LA BAULE ESCOUBLAC;87481754;LILLE EUROPE;87223263;2;Tarif Réglementé;89.3;109.6
TGV INOUI;BESANCON VIOTTE;87718007;CHALON SUR SAONE;87725002;1;Tarif Réglementé;41.6;41.6
TGV INOUI;MONTPELLIER SUD DE FRANCE;87688887;MONTBELIARD VILLE;87184523;1;Tarif Normal;31.0;146.0
TGV INOUI;NANCY;87141002;MONTPELLIER SUD DE FRANCE;87688887;1;Tarif Avantage;21.5;126.0
TGV INOUI;LA BAULE ESCOUBLAC;87481754;LYON PART DIEU;87723197;2;Tarif Avantage;17.5;84.0
TGV INOUI;ANCENIS;87481192;NANTES;87481002;1;Tarif Normal;11.6;20.0
TGV INOUI;RENNES;87471003;ST BRIEUC;87473009;1;Tarif Avantage;11.9;28.0
TGV INOUI;NANCY;87141002;MONTPELLIER SUD DE FRANCE;87688887;1;Tarif Réglementé;153.3;153.3
TGV INOUI;FRASNE;87715136;PARIS GARE DE LYON;87686006;1;Tarif Elève - Etudiant - Apprenti;30.0;30.0
TGV INOUI;LORIENT;87476002;DOUAI;87345009;2;Tarif Elève - Etudiant - Apprenti;14.0;14.0
TGV INOUI;MONTPELLIER SUD DE FRANCE;87688887;SELESTAT;87214056;1;Tarif Avantage;18.5;133.0
TGV INOUI;BORDEAUX ST JEAN;87581009;NARBONNE;87781104;1;Tarif Avantage;16.5;79.0
TGV INOUI;LA BAULE ESCOUBLAC;87481754;LYON-SAINT EXUPERY TGV;87762906;2;Tarif Normal;25.0;120.0
TGV INOUI;TOULON;87755009;VALENCE TGV RHONE-ALPES SUD;87763029;1;Tarif Elève - Etudiant - Apprenti;27.0;27.0
TGV INOUI;MONTPELLIER SUD DE FRANCE;87688887;TGV HAUTE PICARDIE;87313882;1;Tarif Avantage;25.0;156.0
TGV INOUI;MANTES LA JOLIE TGV;87514596;VALENCE TGV RHONE-ALPES SUD;87763029;1;Tarif Normal;31.0;173.0
TGV INOUI;LA BAULE ESCOUBLAC;87481754;MARNE LA VALLEE CHESSY;87111849;2;Tarif Avantage;17.5;75.0
TGV INOUI;ANCENIS;87481192;SABLE SUR SARTHE;87396408;1;Tarif Normal;11.0;38.0
TGV INOUI;DAX;87673202;TGV HAUTE PICARDIE;87313882;1;Tarif Avantage;25.0;140.0
TGV INOUI;NANCY;87141002;REMIREMONT;87144451;1;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;FUTUROSCOPE;87324095;BAYONNE;87673004;1;Tarif Elève - Etudiant - Apprenti;14.0;14.0
TGV INOUI;ANGERS ST LAUD;87484006;AIME LA PLAGNE;87741769;1;Tarif Réglementé;175.6;175.6
TGV INOUI;MONTPELLIER SUD DE FRANCE;87688887;TOUL;87141044;1;Tarif Réglementé;117.7;117.7
TGV INOUI;MANTES LA JOLIE TGV;87514596;VALENCE VILLE;87761007;1;Tarif Réglementé;145.1;145.1
TGV INOUI;LA BAULE ESCOUBLAC;87481754;PARIS AUSTERLITZ;87547000;2;Tarif Réglementé;77.0;92.4
TGV INOUI;LORIENT;87476002;MOUTIERS SALINS BRIDES L BAINS;87741728;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;DIJON VILLE;87713040;BESANCON - F COMTE TGV;87300863;1;Tarif Avantage;11.9;16.5
TGV INOUI;BORDEAUX ST JEAN;87581009;SAVERNE;87212225;1;Tarif Elève - Etudiant - Apprenti;30.0;30.0
TGV INOUI;LYON PERRACHE;87722025;ROUEN RIVE DROITE;87411017;2;Tarif Elève - Etudiant - Apprenti;11.0;11.0
TGV INOUI;PARIS GARE DE LYON;87686006;BEAUNE;87713545;1;Tarif Réglementé;106.6;106.6
TGV INOUI;DIJON VILLE;87713040;BESANCON - F COMTE TGV;87300863;1;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;MARMANDE;87586545;MONTAUBAN VILLE BOURBON;87611244;1;Tarif Réglementé;36.5;36.5
TGV INOUI;FUTUROSCOPE;87324095;CHATELLERAULT;87575142;1;Tarif Réglementé;10.7;10.7
TGV INOUI;BESANCON VIOTTE;87718007;LYON-SAINT EXUPERY TGV;87762906;1;Tarif Elève - Etudiant - Apprenti;9.0;9.0
TGV INOUI;MARSEILLE ST CHARLES;87751008;LES ARCS DRAGUIGNAN;87755447;1;Tarif Avantage;10.5;37.0
TGV INOUI;NANCY;87141002;ST PIERRE DES CORPS;87571240;1;Tarif Avantage;21.5;114.0
TGV INOUI;LA BAULE ESCOUBLAC;87481754;TGV HAUTE PICARDIE;87313882;2;Tarif Normal;40.0;101.0
TGV INOUI;LORIENT;87476002;PARIS MONTPARNASSE 1 ET 2;87391003;2;Tarif Normal;20.0;112.0
TGV INOUI;ROSPORDEN;87474155;REDON;87471300;1;Tarif Réglementé;45.7;45.7
TGV INOUI;NANCY;87141002;ST RAPHAEL VALESCURE;87757526;1;Tarif Elève - Etudiant - Apprenti;25.0;25.0
TGV INOUI;COLMAR;87182014;AIX EN PROVENCE TGV;87319012;2;Tarif Elève - Etudiant - Apprenti;15.0;15.0
TGV INOUI;PARIS GARE DE LYON;87686006;BOURG ST MAURICE;87741793;1;Tarif Normal;31.0;212.0
TGV INOUI;DIJON VILLE;87713040;FRASNE;87715136;1;Tarif Avantage;18.5;21.0
TGV INOUI;BORDEAUX ST JEAN;87581009;TGV HAUTE PICARDIE;87313882;1;Tarif Normal;31.0;200.0
TGV INOUI;LA ROCHE SUR FORON;87746305;ARRAS;87342014;2;Tarif Elève - Etudiant - Apprenti;15.0;15.0
TGV INOUI;TOURS;87571000;AEROPORT CDG2 TGV ROISSY;87271494;1;Tarif Réglementé;95.4;95.4
TGV INOUI;ROSPORDEN;87474155;VANNES;87476606;1;Tarif Normal;19.5;40.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;AGDE;87781278;1;Tarif Normal;31.0;195.0
TGV INOUI;FUTUROSCOPE;87324095;TGV HAUTE PICARDIE;87313882;1;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;ANGERS ST LAUD;87484006;BOURG ST MAURICE;87741793;1;Tarif Réglementé;175.6;175.6
TGV INOUI;MARSEILLE ST CHARLES;87751008;MENTON;87756486;1;Tarif Avantage;15.0;49.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;AIME LA PLAGNE;87741769;1;Tarif Elève - Etudiant - Apprenti;21.0;21.0
TGV INOUI;CASTELNAUDARY;87615039;LYON-SAINT EXUPERY TGV;87762906;1;Tarif Réglementé;108.6;108.6
TGV INOUI;BESANCON VIOTTE;87718007;MARSEILLE BLANCARDE;87751081;1;Tarif Elève - Etudiant - Apprenti;32.0;32.0
TGV INOUI;ROUEN RIVE DROITE;87411017;ALBERTVILLE;87741645;1;Tarif Normal;31.0;193.0
TGV INOUI;NANTES;87481002;AIME LA PLAGNE;87741769;1;Tarif Avantage;21.5;155.0
TGV INOUI;COLMAR;87182014;AVIGNON CENTRE;87765008;2;Tarif Elève - Etudiant - Apprenti;13.0;13.0
TGV INOUI;TOURS;87571000;AVIGNON TGV;87318964;1;Tarif Réglementé;169.5;169.5
TGV INOUI;DIJON VILLE;87713040;LYON PERRACHE;87722025;1;Tarif Elève - Etudiant - Apprenti;24.0;24.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;BELLEGARDE GARE;87745000;1;Tarif Avantage;21.5;142.0
TGV INOUI;LYON PERRACHE;87722025;TOULON;87755009;2;Tarif Normal;25.0;84.0
TGV INOUI;ANGERS ST LAUD;87484006;BREST;87474007;1;Tarif Avantage;23.5;93.0
TGV INOUI;DIJON VILLE;87713040;LYON-SAINT EXUPERY TGV;87762906;1;Tarif Elève - Etudiant - Apprenti;6.0;6.0
TGV INOUI;BOURG EN BRESSE;87743005;SALLANCHES-COMBLOUX-MEGEVE;87746438;1;Tarif Réglementé;54.8;54.8
TGV INOUI;GRENOBLE;87747006;ANNECY;87746008;1;Tarif Normal;14.0;44.0
TGV INOUI;LORIENT;87476002;ROSPORDEN;87474155;2;Tarif Réglementé;12.1;12.1
TGV INOUI;DIJON VILLE;87713040;MACON LOCHE TGV;87725705;1;Tarif Elève - Etudiant - Apprenti;21.0;21.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;EVIAN LES BAINS;87745679;1;Tarif Avantage;21.5;163.0
TGV INOUI;LA ROCHE SUR FORON;87746305;NANTES;87481002;2;Tarif Elève - Etudiant - Apprenti;15.0;15.0
TGV INOUI;TOURS;87571000;CHAMBERY CHALLES LES EAUX;87741009;1;Tarif Normal;31.0;165.0
TGV INOUI;RUFFEC CHARENTE;87583849;LIBOURNE;87584052;1;Tarif Réglementé;39.6;39.6
TGV INOUI;BOURG ST MAURICE;87741793;AIX LES BAINS - LE REVARD;87741132;1;Tarif Normal;16.0;51.0
TGV INOUI;COLMAR;87182014;BOURG EN BRESSE;87743005;2;Tarif Réglementé;57.9;71.1
TGV INOUI;PARIS GARE DE LYON;87686006;DOUAI;87345009;1;Tarif Avantage;11.9;57.0
TGV INOUI;MORLAIX;87474338;PARIS MONTPARNASSE 1 ET 2;87391003;1;Tarif Avantage;18.0;125.0
TGV INOUI;BOURG ST MAURICE;87741793;ECOLE VALENTIN;87710731;1;Tarif Elève - Etudiant - Apprenti;14.0;14.0
TGV INOUI;COLMAR;87182014;BOURG ST MAURICE;87741793;2;Tarif Elève - Etudiant - Apprenti;12.0;12.0
TGV INOUI;BESANCON VIOTTE;87718007;MONTPELLIER SUD DE FRANCE;87688887;1;Tarif Elève - Etudiant - Apprenti;19.0;19.0
TGV INOUI;RUFFEC CHARENTE;87583849;PARIS MONTPARNASSE 1 ET 2;87391003;1;Tarif Elève - Etudiant - Apprenti;17.0;17.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;MASSY PALAISEAU;87393579;1;Tarif Normal;17.0;56.0
TGV INOUI;GRENOBLE;87747006;LILLE EUROPE;87223263;1;Tarif Normal;31.0;191.0
TGV INOUI;TOURS;87571000;CHATELLERAULT;87575142;1;Tarif Normal;9.0;30.0
TGV INOUI;DIJON VILLE;87713040;MANTES LA JOLIE TGV;87514596;1;Tarif Réglementé;90.3;90.3
TGV INOUI;NANTES;87481002;ST BRIEUC;87473009;1;Tarif Elève - Etudiant - Apprenti;24.0;24.0
TGV INOUI;LYON VAISE;87721001;NANTES;87481002;2;Tarif Avantage;17.5;88.0
TGV INOUI;PARIS GARE DE LYON;87686006;EVIAN LES BAINS;87745679;1;Tarif Avantage;21.5;169.0
TGV INOUI;MORLAIX;87474338;PARIS MONTPARNASSE 3 VAUGIRARD;87391102;1;Tarif Avantage;18.0;125.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;MONTAUBAN VILLE BOURBON;87611244;1;Tarif Normal;31.0;199.0
TGV INOUI;LYON VAISE;87721001;NANTES;87481002;2;Tarif Elève - Etudiant - Apprenti;24.0;24.0
TGV INOUI;BESANCON VIOTTE;87718007;MOUTIERS SALINS BRIDES L BAINS;87741728;1;Tarif Réglementé;92.4;92.4
TGV INOUI;DIJON VILLE;87713040;MARSEILLE BLANCARDE;87751081;1;Tarif Elève - Etudiant - Apprenti;27.0;27.0
TGV INOUI;NANTES;87481002;ST MICHEL VALLOIRE;87742361;1;Tarif Normal;31.0;203.0
TGV INOUI;CHALON SUR SAONE;87725002;SELESTAT;87214056;1;Tarif Normal;24.0;109.0
TGV INOUI;BESANCON VIOTTE;87718007;MULHOUSE VILLE;87182063;1;Tarif Normal;17.0;59.0
TGV INOUI;MORLAIX;87474338;PLOUARET TREGOR;87473181;1;Tarif Avantage;7.7;9.5
TGV INOUI;NANTES;87481002;VALENCE VILLE;87761007;1;Tarif Normal;31.0;184.0
TGV INOUI;LA ROCHE SUR FORON;87746305;VANNES;87476606;2;Tarif Réglementé;119.8;139.1
TGV INOUI;ANGERS ST LAUD;87484006;LILLE EUROPE;87223263;1;Tarif Avantage;21.5;116.0
TGV INOUI;MARSEILLE ST CHARLES;87751008;NARBONNE;87781104;1;Tarif Elève - Etudiant - Apprenti;27.0;27.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;REDON;87471300;1;Tarif Avantage;16.5;125.0
TGV INOUI;LYON-SAINT EXUPERY TGV;87762906;AGDE;87781278;2;Tarif Elève - Etudiant - Apprenti;8.0;8.0
TGV INOUI;LORRAINE TGV;87142109;PARIS NORD;87271007;2;Tarif Avantage;14.0;60.0
TGV INOUI;SABLE SUR SARTHE;87396408;ST NAZAIRE;87481705;1;Tarif Elève - Etudiant - Apprenti;24.0;24.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;SALLANCHES-COMBLOUX-MEGEVE;87746438;1;Tarif Elève - Etudiant - Apprenti;21.0;21.0
TGV INOUI;GRENOBLE;87747006;MARNE LA VALLEE CHESSY;87111849;1;Tarif Elève - Etudiant - Apprenti;19.0;19.0
TGV INOUI;PARIS GARE DE LYON;87686006;MONTBELIARD VILLE;87184523;1;Tarif Elève - Etudiant - Apprenti;33.0;33.0
TGV INOUI;DIJON VILLE;87713040;NICE VILLE;87756056;1;Tarif Normal;31.0;194.0
TGV INOUI;BREST;87474007;AIME LA PLAGNE;87741769;1;Tarif Elève - Etudiant - Apprenti;29.0;29.0
TGV INOUI;CHALON SUR SAONE;87725002;THIONVILLE;87191007;1;Tarif Réglementé;112.7;112.7
TGV INOUI;LORRAINE TGV;87142109;SAVERNE;87212225;2;Tarif Elève - Etudiant - Apprenti;3.0;3.0
TGV INOUI;MARSEILLE ST CHARLES;87751008;PERPIGNAN;87784009;1;Tarif Normal;19.0;81.0
TGV INOUI;BREST;87474007;AIME LA PLAGNE;87741769;1;Tarif Réglementé;208.1;208.1
TGV INOUI;COLMAR;87182014;LONS LE SAUNIER;87718239;2;Tarif Avantage;10.5;43.0
TGV INOUI;TOURS;87571000;PARIS AUSTERLITZ;87547000;1;Tarif Réglementé;95.4;95.4
TGV INOUI;DIJON VILLE;87713040;PARIS BERCY;87686667;1;Tarif Normal;19.0;112.0
TGV INOUI;BREST;87474007;AIX LES BAINS - LE REVARD;87741132;1;Tarif Normal;36.0;218.0
TGV INOUI;CHAMBERY CHALLES LES EAUX;87741009;AIX LES BAINS - LE REVARD;87741132;1;Tarif Avantage;4.6;6.1
TGV INOUI;LORRAINE TGV;87142109;ST PIERRE DES CORPS;87571240;2;Tarif Elève - Etudiant - Apprenti;13.0;13.0
TGV INOUI;DIJON VILLE;87713040;PARIS GARE DE LYON;87686006;1;Tarif Avantage;13.3;84.0
TGV INOUI;NEUFCHATEAU;87141291;CHALON SUR SAONE;87725002;1;Tarif Elève - Etudiant - Apprenti;21.0;21.0
TGV INOUI;LYON-SAINT EXUPERY TGV;87762906;ANNECY;87746008;2;Tarif Avantage;9.1;20.5
TGV INOUI;ANGERS ST LAUD;87484006;MARSEILLE ST CHARLES;87751008;1;Tarif Réglementé;188.8;188.8
TGV INOUI;MARSEILLE ST CHARLES;87751008;SELESTAT;87214056;1;Tarif Avantage;18.0;133.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ST MICHEL VALLOIRE;87742361;1;Tarif Avantage;21.5;149.0
TGV INOUI;LA ROCHELLE VILLE;87485003;FUTUROSCOPE;87324095;2;Tarif Réglementé;30.5;30.5
TGV INOUI;ANGERS ST LAUD;87484006;MEUSE TGV;87147322;1;Tarif Elève - Etudiant - Apprenti;20.0;20.0
TGV INOUI;MOUCHARD;87718833;MARSEILLE BLANCARDE;87751081;1;Tarif Elève - Etudiant - Apprenti;23.0;23.0
TGV INOUI;NEUFCHATEAU;87141291;LES ARCS DRAGUIGNAN;87755447;1;Tarif Normal;31.0;169.0
TGV INOUI;CHAMBERY CHALLES LES EAUX;87741009;ALBERTVILLE;87741645;1;Tarif Réglementé;22.8;22.8
TGV INOUI;ANGERS ST LAUD;87484006;MEUSE TGV;87147322;1;Tarif Normal;29.0;158.0
TGV INOUI;MARSEILLE ST CHARLES;87751008;ST PIERRE DES CORPS;87571240;1;Tarif Avantage;21.5;161.0
TGV INOUI;BREST;87474007;LA ROCHE SUR FORON;87746305;1;Tarif Avantage;25.0;159.0
TGV INOUI;LA ROCHELLE VILLE;87485003;MARNE LA VALLEE CHESSY;87111849;2;Tarif Elève - Etudiant - Apprenti;11.0;11.0
TGV INOUI;PARIS GARE DE LYON;87686006;REIMS;87171009;1;Tarif Avantage;11.9;54.0
TGV INOUI;MOUCHARD;87718833;MONTBELIARD VILLE;87184523;1;Tarif Elève - Etudiant - Apprenti;21.0;21.0
TGV INOUI;NEUFCHATEAU;87141291;NARBONNE;87781104;1;Tarif Avantage;21.5;119.0
TGV INOUI;CHAMBERY CHALLES LES EAUX;87741009;ANTIBES;87757674;1;Tarif Elève - Etudiant - Apprenti;22.0;22.0
TGV INOUI;LOURDES;87671339;PARIS MONTPARNASSE 1 ET 2;87391003;2;Tarif Normal;25.0;145.0
TGV INOUI;MARSEILLE ST CHARLES;87751008;THIONVILLE;87191007;1;Tarif Avantage;21.5;149.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ST NAZAIRE;87481705;1;Tarif Avantage;20.0;124.0
TGV INOUI;LYON-SAINT EXUPERY TGV;87762906;BEAUNE;87713545;2;Tarif Réglementé;26.4;33.5
TGV INOUI;PARIS GARE DE LYON;87686006;REMIREMONT;87144451;1;Tarif Avantage;20.0;120.0
TGV INOUI;MOUTIERS SALINS BRIDES L BAINS;87741728;AIX LES BAINS - LE REVARD;87741132;1;Tarif Réglementé;35.5;35.5
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;TGV HAUTE PICARDIE;87313882;1;Tarif Elève - Etudiant - Apprenti;7.0;7.0
TGV INOUI;COLMAR;87182014;LYON-SAINT EXUPERY TGV;87762906;2;Tarif Elève - Etudiant - Apprenti;10.0;10.0
TGV INOUI;ANGERS ST LAUD;87484006;MONTPELLIER SAINT-ROCH;87773002;1;Tarif Normal;31.0;203.0
TGV INOUI;SAVERNE;87212225;ST PIERRE DES CORPS;87571240;1;Tarif Normal;31.0;192.0
TGV INOUI;NEUFCHATEAU;87141291;TOUL;87141044;1;Tarif Avantage;4.9;21.5
TGV INOUI;GRENOBLE;87747006;ST NAZAIRE;87481705;1;Tarif Réglementé;167.5;167.5
TGV INOUI;LOURDES;87671339;PARIS MONTPARNASSE 3 VAUGIRARD;87391102;2;Tarif Elève - Etudiant - Apprenti;28.0;28.0
TGV INOUI;MARSEILLE ST CHARLES;87751008;TOULON;87755009;1;Tarif Normal;8.0;31.0
TGV INOUI;MARSEILLE BLANCARDE;87751081;ANNECY;87746008;1;Tarif Normal;29.0;135.0
TGV INOUI;GRENOBLE;87747006;VALENCE TGV RHONE-ALPES SUD;87763029;1;Tarif Normal;14.0;42.0
TGV INOUI;BEZIERS;87781005;MARSEILLE BLANCARDE;87751081;1;Tarif Avantage;15.0;56.0
TGV INOUI;SETE;87773200;NIMES PONT DU GARD;87703975;1;Tarif Avantage;6.3;23.0
TGV INOUI;NEUFCHATEAU;87141291;TOUL;87141044;1;Tarif Réglementé;23.9;23.9
TGV INOUI;LA ROCHELLE VILLE;87485003;POITIERS;87575001;2;Tarif Réglementé;24.4;30.5
TGV INOUI;PARIS GARE DE LYON;87686006;REMIREMONT;87144451;1;Tarif Normal;29.0;151.0
TGV INOUI;MOUTIERS SALINS BRIDES L BAINS;87741728;AURAY;87476200;1;Tarif Avantage;25.0;166.0
TGV INOUI;NEUFCHATEAU;87141291;VALENCE TGV RHONE-ALPES SUD;87763029;1;Tarif Normal;29.0;115.0
TGV INOUI;CHAMBERY CHALLES LES EAUX;87741009;BELFORT-MONTBELIARD TGV;87300822;1;Tarif Avantage;18.0;65.0
TGV INOUI;LOURDES;87671339;POITIERS;87575001;2;Tarif Réglementé;74.1;74.1
TGV INOUI;DIJON VILLE;87713040;SETE;87773200;1;Tarif Réglementé;136.0;136.0
TGV INOUI;BREST;87474007;PARIS MONTPARNASSE 1 ET 2;87391003;1;Tarif Avantage;18.0;129.0
TGV INOUI;LA ROCHELLE VILLE;87485003;ST PIERRE DES CORPS;87571240;2;Tarif Elève - Etudiant - Apprenti;16.0;16.0
TGV INOUI;VALENCE TGV RHONE-ALPES SUD;87763029;ANTIBES;87757674;1;Tarif Normal;24.0;122.0
TGV INOUI;MOUTIERS SALINS BRIDES L BAINS;87741728;AURAY;87476200;1;Tarif Elève - Etudiant - Apprenti;27.0;27.0
TGV INOUI;BREST;87474007;PARIS MONTPARNASSE 3 VAUGIRARD;87391102;1;Tarif Normal;26.0;169.0
TGV INOUI;GROISY THORENS LA CAILLE;87746248;ANNECY;87746008;1;Tarif Normal;7.3;12.0
TGV INOUI;ANGERS ST LAUD;87484006;NANCY;87141002;1;Tarif Avantage;21.5;121.0
TGV INOUI;MASSY PALAISEAU;87393579;ANNECY;87746008;1;Tarif Normal;31.0;165.0
TGV INOUI;NICE VILLE;87756056;BELLEGARDE GARE;87745000;1;Tarif Avantage;21.5;118.0
TGV INOUI;LA TESTE;87582643;LIBOURNE;87584052;2;Tarif Avantage;6.3;14.7
TGV INOUI;VALENCE TGV RHONE-ALPES SUD;87763029;ANTIBES;87757674;1;Tarif Réglementé;111.7;111.7
TGV INOUI;ST AVRE - LA CHAMBRE;87741306;MORLAIX;87474338;1;Tarif Elève - Etudiant - Apprenti;29.0;29.0
TGV INOUI;MARSEILLE BLANCARDE;87751081;BELLEGARDE GARE;87745000;1;Tarif Avantage;16.5;102.0
TGV INOUI;COLMAR;87182014;PARIS NORD;87271007;2;Tarif Avantage;17.5;88.0
TGV INOUI;LYON PART DIEU;87723197;AEROPORT CDG2 TGV ROISSY;87271494;2;Tarif Normal;25.0;115.0
TGV INOUI;MASSY PALAISEAU;87393579;ST MICHEL VALLOIRE;87742361;1;Tarif Elève - Etudiant - Apprenti;19.0;19.0
TGV INOUI;MARSEILLE BLANCARDE;87751081;BESANCON - F COMTE TGV;87300863;1;Tarif Normal;26.0;174.0
TGV INOUI;LAMBALLE;87473108;AEROPORT CDG2 TGV ROISSY;87271494;2;Tarif Avantage;14.0;75.0
TGV INOUI;VALENCE TGV RHONE-ALPES SUD;87763029;DOUAI;87345009;1;Tarif Elève - Etudiant - Apprenti;24.0;24.0
TGV INOUI;MOUTIERS SALINS BRIDES L BAINS;87741728;RENNES;87471003;1;Tarif Normal;31.0;205.0
TGV INOUI;MARSEILLE BLANCARDE;87751081;BESANCON - F COMTE TGV;87300863;1;Tarif Réglementé;157.3;157.3
TGV INOUI;CHAMBERY CHALLES LES EAUX;87741009;DOUAI;87345009;1;Tarif Elève - Etudiant - Apprenti;24.0;24.0
