Transporteur;Gare origine;Gare origine - code UIC;Gare destination;Gare destination - code UIC;Classe;Profil tarifaire;Prix minimum;Prix maximum
TGV INOUI;LAVAL;87478404;ST JEAN DE MAURIENNE ARVAN;87742320;2;Tarif Normal;25.0;148.0
TGV INOUI;MOUTIERS SALINS BRIDES L BAINS;87741728;ALBERTVILLE;87741645;2;Tarif Réglementé;11.6;11.6
TGV INOUI;LAVAL;87478404;STRASBOURG;87212027;2;Tarif Normal;30.0;149.0
TGV INOUI;LAVAL;87478404;PARIS MONTPARNASSE 3 VAUGIRARD;87391102;2;Tarif Avantage;10.5;63.0
TGV INOUI;MOUTIERS SALINS BRIDES L BAINS;87741728;ST BRIEUC;87473009;2;Tarif Normal;30.0;161.0
TGV INOUI;MEUSE TGV;87147322;ST PIERRE DES CORPS;87571240;1;Tarif Normal;29.0;136.0
TGV INOUI;ANGERS ST LAUD;87484006;LYON PERRACHE;87722025;1;Tarif Elève - Etudiant - Apprenti;36.0;36.0
TGV INOUI;LAVAL;87478404;QUIMPERLE;87476317;2;Tarif Elève - Etudiant - Apprenti;16.0;16.0
TGV INOUI;MODANE;87742007;LE CREUSOT - MONTCEAU TGV;87694109;1;Tarif Avantage;23.5;79.0
TGV INOUI;PERPIGNAN;87784009;VALENCE TGV RHONE-ALPES SUD;87763029;1;Tarif Réglementé;105.6;105.6
TGV INOUI;POITIERS;87575001;PARIS MONTPARNASSE 1 ET 2;87391003;1;Tarif Elève - Etudiant - Apprenti;30.0;30.0
TGV INOUI;ANGERS ST LAUD;87484006;LE CREUSOT - MONTCEAU TGV;87694109;1;Tarif Réglementé;132.0;132.0
TGV INOUI;MOUTIERS SALINS BRIDES L BAINS;87741728;ST PIERRE DES CORPS;87571240;2;Tarif Elève - Etudiant - Apprenti;16.0;16.0
TGV INOUI;PLOUARET TREGOR;87473181;RENNES;87471003;1;Tarif Avantage;15.0;41.0
TGV INOUI;POITIERS;87575001;ST JEAN DE LUZ CIBOURE;87677120;1;Tarif Avantage;20.0;93.0
TGV INOUI;PLOUARET TREGOR;87473181;RENNES;87471003;1;Tarif Elève - Etudiant - Apprenti;21.0;21.0
TGV INOUI;POITIERS;87575001;ST PIERRE DES CORPS;87571240;1;Tarif Normal;14.0;46.0
TGV INOUI;ANGERS ST LAUD;87484006;LE POULIGUEN;87481762;1;Tarif Réglementé;49.7;49.7
TGV INOUI;MODANE;87742007;LYON PERRACHE;87722025;1;Tarif Elève - Etudiant - Apprenti;24.0;24.0
TGV INOUI;ANGERS ST LAUD;87484006;LES SABLES D'OLONNE;87486449;1;Tarif Normal;16.0;60.0
TGV INOUI;LAVAL;87478404;VERSAILLES CHANTIERS;87393009;2;Tarif Réglementé;62.2;82.2
TGV INOUI;MOUTIERS SALINS BRIDES L BAINS;87741728;ECOLE VALENTIN;87710731;2;Tarif Avantage;22.0;54.0
TGV INOUI;MODANE;87742007;LYON-SAINT EXUPERY TGV;87762906;1;Tarif Réglementé;67.0;67.0
TGV INOUI;ANGERS ST LAUD;87484006;LILLE FLANDRES;87286005;1;Tarif Réglementé;139.1;139.1
TGV INOUI;MODANE;87742007;MACON LOCHE TGV;87725705;1;Tarif Normal;17.0;74.0
TGV INOUI;POITIERS;87575001;CHATELLERAULT;87575142;1;Tarif Normal;11.0;20.0
TGV INOUI;MODANE;87742007;MASSY PALAISEAU;87393579;1;Tarif Normal;31.0;193.0
TGV INOUI;MOUTIERS SALINS BRIDES L BAINS;87741728;ROUEN RIVE DROITE;87411017;2;Tarif Avantage;17.5;98.0
TGV INOUI;MODANE;87742007;MASSY TGV;87393702;1;Tarif Réglementé;171.5;171.5
TGV INOUI;POITIERS;87575001;FUTUROSCOPE;87324095;1;Tarif Réglementé;4.3;4.3
TGV INOUI;ANGERS ST LAUD;87484006;PARIS AUSTERLITZ;87547000;1;Tarif Avantage;16.5;100.0
TGV INOUI;POITIERS;87575001;MARMANDE;87586545;1;Tarif Elève - Etudiant - Apprenti;27.0;27.0
TGV INOUI;ANGERS ST LAUD;87484006;PARIS MONTPARNASSE 3 VAUGIRARD;87391102;1;Tarif Avantage;16.5;100.0
TGV INOUI;LAVAL;87478404;VALENCE TGV RHONE-ALPES SUD;87763029;2;Tarif Normal;25.0;137.0
TGV INOUI;LE CROISIC;87481788;LE CREUSOT - MONTCEAU TGV;87694109;2;Tarif Elève - Etudiant - Apprenti;13.0;13.0
TGV INOUI;LAVAL;87478404;VALENCE VILLE;87761007;2;Tarif Elève - Etudiant - Apprenti;14.0;14.0
TGV INOUI;LE CROISIC;87481788;LYON PART DIEU;87723197;2;Tarif Elève - Etudiant - Apprenti;13.0;13.0
TGV INOUI;MODANE;87742007;LILLE EUROPE;87223263;1;Tarif Elève - Etudiant - Apprenti;23.0;23.0
TGV INOUI;ANGERS ST LAUD;87484006;QUIMPER;87474098;1;Tarif Réglementé;79.2;79.2
TGV INOUI;ANGERS ST LAUD;87484006;MASSY TGV;87393702;1;Tarif Réglementé;116.7;116.7
TGV INOUI;LE CROISIC;87481788;LYON-SAINT EXUPERY TGV;87762906;2;Tarif Normal;25.0;117.0
TGV INOUI;MULHOUSE VILLE;87182063;AEROPORT CDG2 TGV ROISSY;87271494;2;Tarif Avantage;14.0;95.0
TGV INOUI;MODANE;87742007;QUIMPER;87474098;1;Tarif Normal;36.0;228.0
TGV INOUI;MULHOUSE VILLE;87182063;AIME LA PLAGNE;87741769;2;Tarif Avantage;17.5;71.0
TGV INOUI;ANGERS ST LAUD;87484006;REDON;87471300;1;Tarif Réglementé;46.7;46.7
TGV INOUI;LAVAL;87478404;VITRE;87471508;2;Tarif Avantage;7.0;7.5
TGV INOUI;LE CROISIC;87481788;MARNE LA VALLEE CHESSY;87111849;2;Tarif Réglementé;74.1;89.3
TGV INOUI;MULHOUSE VILLE;87182063;ANTIBES;87757674;2;Tarif Avantage;17.5;111.0
TGV INOUI;PORNICHET;87481747;PARIS MONTPARNASSE 1 ET 2;87391003;1;Tarif Normal;29.0;157.0
TGV INOUI;PORNICHET;87481747;AEROPORT CDG2 TGV ROISSY;87271494;1;Tarif Réglementé;140.1;140.1
TGV INOUI;MODANE;87742007;ST BRIEUC;87473009;1;Tarif Réglementé;195.9;195.9
TGV INOUI;LE CREUSOT - MONTCEAU TGV;87694109;MONTELIMAR GARE SNCF;87764001;2;Tarif Normal;15.0;50.0
TGV INOUI;LE CROISIC;87481788;PARIS MONTPARNASSE 3 VAUGIRARD;87391102;2;Tarif Elève - Etudiant - Apprenti;20.0;20.0
TGV INOUI;MODANE;87742007;MASSY TGV;87393702;1;Tarif Normal;31.0;189.0
